,date,stock_code,prev,open,high,low,close,change
755,24 Jun 2022,UNVR,4960,4930,4990,4870,4990,30
4,27 Jun 2022,ACES,780,0,805,780,800,20
34,27 Jun 2022,AMRT,1990,2000,2000,1910,1985,-5
56,27 Jun 2022,ASII,6675,6700,6750,6550,6650,-25
317,27 Jun 2022,HRUM,1675,1625,1645,1565,1585,-90
347,27 Jun 2022,INKP,7725,7750,7900,7725,7900,175
355,27 Jun 2022,INTP,9775,9775,9800,9525,9750,-25
448,27 Jun 2022,MAPI,915,0,920,900,910,-5
645,27 Jun 2022,SIDO,990,0,1005,980,985,-5
754,27 Jun 2022,UNTR,29275,29500,29600,28975,29200,-75
755,27 Jun 2022,UNVR,4990,4990,5000,4900,4980,-10
4,28 Jun 2022,ACES,800,0,805,780,790,-10
34,28 Jun 2022,AMRT,1985,1985,1985,1920,1985,0
56,28 Jun 2022,ASII,6650,6650,6700,6600,6700,50
317,28 Jun 2022,HRUM,1585,1595,1625,1580,1610,25
347,28 Jun 2022,INKP,7900,7900,7950,7750,7775,-125
355,28 Jun 2022,INTP,9750,9725,9725,9450,9625,-125
448,28 Jun 2022,MAPI,910,0,955,910,925,15
645,28 Jun 2022,SIDO,985,0,995,985,995,10
754,28 Jun 2022,UNTR,29200,29400,29875,29300,29800,600
755,28 Jun 2022,UNVR,4980,4980,5075,4960,5050,70
4,29 Jun 2022,ACES,790,0,795,775,785,-5
34,29 Jun 2022,AMRT,1985,1985,1995,1975,1990,5
56,29 Jun 2022,ASII,6700,6625,6700,6500,6500,-200
317,29 Jun 2022,HRUM,1610,1610,1615,1535,1550,-60
347,29 Jun 2022,INKP,7775,7750,7825,7700,7700,-75
355,29 Jun 2022,INTP,9625,9550,9675,9425,9500,-125
448,29 Jun 2022,MAPI,925,0,990,925,965,40
645,29 Jun 2022,SIDO,995,0,1010,980,995,0
754,29 Jun 2022,UNTR,29800,29700,29700,28500,28525,-1275
755,29 Jun 2022,UNVR,5050,5000,5050,4910,4940,-110
4,30 Jun 2022,ACES,785,0,795,770,770,-15
34,30 Jun 2022,AMRT,1990,2000,2090,1990,2040,50
56,30 Jun 2022,ASII,6500,6525,6650,6500,6625,125
317,30 Jun 2022,HRUM,1550,1560,1590,1520,1545,-5
347,30 Jun 2022,INKP,7700,7700,7800,7600,7600,-100
355,30 Jun 2022,INTP,9500,9600,9700,9300,9475,-25
448,30 Jun 2022,MAPI,965,0,990,960,980,15
645,30 Jun 2022,SIDO,995,0,1000,985,1000,5
754,30 Jun 2022,UNTR,28525,28400,28750,28200,28400,-125
755,30 Jun 2022,UNVR,4940,4950,4980,4750,4770,-170
4,01 Jul 2022,ACES,770,0,785,770,775,5
34,01 Jul 2022,AMRT,2040,2040,2050,1990,2010,-30
56,01 Jul 2022,ASII,6625,6675,6675,6500,6525,-100
317,01 Jul 2022,HRUM,1545,1535,1555,1440,1440,-105
347,01 Jul 2022,INKP,7600,7600,7600,7400,7425,-175
355,01 Jul 2022,INTP,9475,9475,9500,9250,9400,-75
448,01 Jul 2022,MAPI,980,0,980,915,915,-65
645,01 Jul 2022,SIDO,1000,0,1000,975,990,-10
754,01 Jul 2022,UNTR,28400,28400,28600,26425,26500,-1900
755,01 Jul 2022,UNVR,4770,4750,4860,4690,4830,60
4,04 Jul 2022,ACES,775,0,780,725,725,-50
34,04 Jul 2022,AMRT,2010,2010,2020,1920,1920,-90
56,04 Jul 2022,ASII,6525,6500,6575,6300,6500,-25
317,04 Jul 2022,HRUM,1440,1415,1455,1375,1380,-60
347,04 Jul 2022,INKP,7425,7425,7525,7225,7450,25
355,04 Jul 2022,INTP,9400,9400,9425,9125,9200,-200
448,04 Jul 2022,MAPI,915,0,935,880,900,-15
645,04 Jul 2022,SIDO,990,0,990,955,985,-5
754,04 Jul 2022,UNTR,26500,26500,27350,26125,26525,25
755,04 Jul 2022,UNVR,4830,4800,4820,4550,4700,-130
4,05 Jul 2022,ACES,725,0,760,720,750,25
34,05 Jul 2022,AMRT,1920,1920,1995,1920,1980,60
56,05 Jul 2022,ASII,6500,6500,6525,6325,6325,-175
317,05 Jul 2022,HRUM,1380,1410,1520,1410,1500,120
347,05 Jul 2022,INKP,7450,7475,7600,7400,7400,-50
355,05 Jul 2022,INTP,9200,9250,9325,9175,9225,25
448,05 Jul 2022,MAPI,900,0,915,890,900,0
645,05 Jul 2022,SIDO,985,0,990,975,975,-10
754,05 Jul 2022,UNTR,26525,26875,28175,26875,27975,1450
755,05 Jul 2022,UNVR,4700,4700,4780,4680,4760,60
4,06 Jul 2022,ACES,750,0,760,740,755,5
34,06 Jul 2022,AMRT,1980,1980,2030,1960,2030,50
56,06 Jul 2022,ASII,6325,6300,6400,6050,6075,-250
317,06 Jul 2022,HRUM,1500,1500,1525,1445,1470,-30
347,06 Jul 2022,INKP,7400,7450,7475,7250,7325,-75
